time	V(out)
1.157975084406457e+001	4.902203e-001
1.163679213967980e+001	1.452599e+000
1.177175307717980e+001	2.833317e+000
1.190671401467980e+001	2.528149e+000
1.204167495217980e+001	1.930484e+000
1.217663588967979e+001	1.473653e+000
1.231159682717979e+001	1.124926e+000
1.244655776467979e+001	8.587214e-001
1.255199599710166e+001	6.946496e-001
1.258995376077354e+001	6.439095e-001
1.260361813314298e+001	6.292560e-001
1.260851146709624e+001	6.624340e-001
1.261398388296635e+001	7.989764e-001
1.265693563182406e+001	2.027079e+000
1.279189656932405e+001	4.656081e+000
1.292333216443714e+001	4.473519e+000
1.302876153376454e+001	3.625113e+000
1.307937188532704e+001	3.275959e+000
1.317637505915517e+001	2.698824e+000
1.329446587946767e+001	2.133046e+000
1.342942681696766e+001	1.628281e+000
1.353064752009266e+001	1.328409e+000
1.359812798884266e+001	1.160906e+000
1.364452081110829e+001	1.057969e+000
1.364793970589326e+001	1.050968e+000
1.365108580846665e+001	1.047832e+000
1.365419866495942e+001	1.079963e+000
1.365817977396362e+001	1.219049e+000
1.369463370825016e+001	2.682235e+000
1.377512296571599e+001	5.302410e+000
1.391008390321599e+001	6.698577e+000
1.399735514855293e+001	5.801829e+000
1.408294877777295e+001	4.887749e+000
1.417151689300733e+001	4.094688e+000
1.426852006683546e+001	3.373315e+000
1.438661088714795e+001	2.666139e+000
1.452157182464795e+001	2.033236e+000
1.461435746917920e+001	1.688850e+000
1.467881349829238e+001	1.484744e+000
1.469603371478838e+001	1.434462e+000
1.469906831092416e+001	1.427652e+000
1.470163015491391e+001	1.445154e+000
1.470468359306721e+001	1.556116e+000
1.473373409091997e+001	2.954566e+000
1.481046242341564e+001	6.022413e+000
1.494542336091564e+001	7.965338e+000
1.503187184971018e+001	6.976337e+000
1.510395367209094e+001	6.038843e+000
1.518362305472231e+001	5.149766e+000
1.528984889823080e+001	4.164529e+000
1.536951828086217e+001	3.554700e+000
1.550447921836216e+001	2.713836e+000
1.560148239219029e+001	2.232928e+000
1.571879707312877e+001	1.766129e+000
1.574311394694214e+001	1.682285e+000
1.574796578366765e+001	1.666871e+000
1.575016395562905e+001	1.669259e+000
1.575294798193532e+001	1.742845e+000
1.575705653151246e+001	1.947498e+000
1.582766185522011e+001	5.255104e+000
1.590761795797517e+001	7.651778e+000
1.603511178410836e+001	7.799462e+000
1.610763047495024e+001	6.765615e+000
1.621399873303957e+001	5.469165e+000
1.629991155688096e+001	4.606139e+000
1.638173329387276e+001	3.913013e+000
1.651568269179447e+001	2.994926e+000
1.661690339491947e+001	2.443368e+000
1.673499421523197e+001	1.929617e+000
1.679119902267462e+001	1.724476e+000
1.679805940655901e+001	1.701471e+000
1.680048058265754e+001	1.699250e+000
1.680316083239096e+001	1.745424e+000
1.680710324124660e+001	1.917923e+000
1.684885368160478e+001	3.796404e+000
1.693346987385816e+001	6.535794e+000
1.706843081135816e+001	7.192519e+000
1.714347001531791e+001	6.232676e+000
1.723625565984916e+001	5.177382e+000
1.730373612859916e+001	4.524554e+000
1.738386918523979e+001	3.854459e+000
1.747665482977104e+001	3.205023e+000
