time	V(in)	V(out)
1.469408688190911e+001	1.686731e+000	
1.470673946979973e+001	2.314772e+000	
1.472782711628411e+001	3.339023e+000	
1.475734982136223e+001	4.684238e+000	
1.476578487995598e+001	5.044075e+000	
1.477220137069693e+001	5.311395e+000	
1.477632113856294e+001	5.479054e+000	
1.477890683061181e+001	5.582537e+000	
1.478027652435128e+001	5.636770e+000	
1.478112376597336e+001	5.670088e+000	
1.478188932948939e+001	5.700051e+000	
1.478270679259237e+001	5.731913e+000	
1.478354476390079e+001	5.764423e+000	
1.478473264139593e+001	5.810290e+000	
1.478558103449078e+001	5.842881e+000	
1.478659218089239e+001	5.881514e+000	
1.478767160197815e+001	5.922525e+000	
1.478886862511403e+001	5.967704e+000	
1.479046801583376e+001	6.027615e+000	
1.479204091543379e+001	6.085962e+000	
1.480519008466268e+001	6.547726e+000	
1.481934868798800e+001	6.987050e+000	
1.484766589463862e+001	7.711952e+000	
1.488140612901362e+001	8.315051e+000	
1.491514636338862e+001	8.592426e+000	
1.494888659776362e+001	8.545217e+000	
1.497231331569507e+001	8.315684e+000	
1.498948926491454e+001	8.027911e+000	
1.500628438620281e+001	7.635871e+000	
1.504402882471160e+001	6.548824e+000	
1.507355152978973e+001	5.427770e+000	
1.510307423486785e+001	4.131243e+000	
1.513259693994598e+001	2.699572e+000	
1.516211964502411e+001	1.177546e+000	
1.518742482080536e+001	-1.629251e-001	
1.520007740869598e+001	-8.341130e-001	
1.522116505518036e+001	-1.944702e+000	
1.525068776025848e+001	-3.446254e+000	
1.528021046533661e+001	-4.843977e+000	
1.530973317041473e+001	-6.093357e+000	
1.531816822900849e+001	-6.411138e+000	
1.533503834619599e+001	-6.981453e+000	
1.536877858057098e+001	-7.914484e+000	
1.540251881494598e+001	-8.559894e+000	
1.543625904932098e+001	-8.855742e+000	
1.546999928369598e+001	-8.789068e+000	
1.550373951807098e+001	-8.361930e+000	
1.553747975244598e+001	-7.659996e+000	
1.555013234033661e+001	-7.285530e+000	
1.557121998682098e+001	-6.574193e+000	
1.560074269189911e+001	-5.393552e+000	
1.563026539697723e+001	-4.042712e+000	
1.565978810205536e+001	-2.564249e+000	
